Game Date,Away Team,Home Team,Total_1to5_Runs
2025-04-26,Boston Red Sox,Cleveland Guardians,9.0
2025-04-26,Cincinnati Reds,Colorado Rockies,6.0
2025-04-26,Baltimore Orioles,Detroit Tigers,4.0
2025-04-26,Baltimore Orioles,Detroit Tigers,4.0
2025-04-26,Houston Astros,Kansas City Royals,2.0
2025-04-26,Pittsburgh Pirates,Los Angeles Dodgers,6.0
2025-04-26,Los Angeles Angels,Minnesota Twins,5.0
2025-04-26,Toronto Blue Jays,New York Yankees,0.0
2025-04-26,Tampa Bay Rays,San Diego Padres,3.0
2025-04-26,Texas Rangers,San Francisco Giants,4.0
2025-04-26,Miami Marlins,Seattle Mariners,10.0
2025-04-26,Milwaukee Brewers,St. Louis Cardinals,7.0
2025-04-26,New York Mets,Washington Nationals,2.0
2025-04-27,Atlanta Braves,Arizona Diamondbacks,5.0
2025-04-27,Chicago White Sox,Athletics,2.0
2025-04-27,Philadelphia Phillies,Chicago Cubs,2.0
2025-04-27,Boston Red Sox,Cleveland Guardians,8.0
2025-04-27,Cincinnati Reds,Colorado Rockies,7.0
2025-04-27,Baltimore Orioles,Detroit Tigers,3.0
2025-04-27,Houston Astros,Kansas City Royals,5.0
2025-04-27,Pittsburgh Pirates,Los Angeles Dodgers,10.0
2025-04-27,Los Angeles Angels,Minnesota Twins,1.0
2025-04-27,Toronto Blue Jays,New York Yankees,10.0
2025-04-27,Toronto Blue Jays,New York Yankees,2.0
2025-04-27,Tampa Bay Rays,San Diego Padres,5.0
2025-04-27,Texas Rangers,San Francisco Giants,4.0
2025-04-27,Miami Marlins,Seattle Mariners,9.0
2025-04-27,Milwaukee Brewers,St. Louis Cardinals,8.0
2025-04-27,New York Mets,Washington Nationals,8.0
2025-04-28,New York Yankees,Baltimore Orioles,4.0
2025-04-28,St. Louis Cardinals,Cincinnati Reds,3.0
2025-04-28,Minnesota Twins,Cleveland Guardians,7.0
2025-04-28,Atlanta Braves,Colorado Rockies,8.0
2025-04-28,Detroit Tigers,Houston Astros,5.0
2025-04-28,Miami Marlins,Los Angeles Dodgers,5.0
2025-04-28,Athletics,Texas Rangers,2.0
2025-04-28,New York Mets,Washington Nationals,3.0
2025-04-29,New York Yankees,Baltimore Orioles,12.0
2025-04-29,Milwaukee Brewers,Chicago White Sox,3.0
2025-04-29,St. Louis Cardinals,Cincinnati Reds,0.0
2025-04-29,Minnesota Twins,Cleveland Guardians,2.0
2025-04-29,Atlanta Braves,Colorado Rockies,7.0
2025-04-29,Detroit Tigers,Houston Astros,2.0
2025-04-29,Miami Marlins,Los Angeles Dodgers,8.0
2025-04-29,Arizona Diamondbacks,New York Mets,9.0
2025-04-29,Washington Nationals,Philadelphia Phillies,3.0
2025-04-29,Chicago Cubs,Pittsburgh Pirates,4.0
2025-04-29,San Francisco Giants,San Diego Padres,6.0
2025-04-29,Los Angeles Angels,Seattle Mariners,3.0
2025-04-29,Kansas City Royals,Tampa Bay Rays,3.0
2025-04-29,Athletics,Texas Rangers,4.0
2025-04-29,Boston Red Sox,Toronto Blue Jays,9.0
2025-04-30,New York Yankees,Baltimore Orioles,8.0
2025-04-30,Milwaukee Brewers,Chicago White Sox,6.0
2025-04-30,St. Louis Cardinals,Cincinnati Reds,1.0
2025-04-30,St. Louis Cardinals,Cincinnati Reds,9.0
2025-04-30,Minnesota Twins,Cleveland Guardians,0.0
2025-04-30,Atlanta Braves,Colorado Rockies,3.0
2025-04-30,Detroit Tigers,Houston Astros,10.0
2025-04-30,Miami Marlins,Los Angeles Dodgers,6.0
2025-04-30,Arizona Diamondbacks,New York Mets,1.0
2025-04-30,Washington Nationals,Philadelphia Phillies,7.0
2025-04-30,Chicago Cubs,Pittsburgh Pirates,5.0
2025-04-30,San Francisco Giants,San Diego Padres,4.0
2025-04-30,Los Angeles Angels,Seattle Mariners,6.0
2025-04-30,Kansas City Royals,Tampa Bay Rays,3.0
2025-04-30,Athletics,Texas Rangers,2.0
